dependency_group_id,constructor_family,linear_context,exact_relation,aggregate_coordinate,component_coordinates,n_members,linearity_argument,evidence_class,all_members_admissible,n_inadmissible_members,inadmissible_members,status,vacuous_reason
DEP_C2_PROD_prmtan_neped,C2,"PROD(pinj_b,prmtan_neped)","PROD(pinj,prmtan_neped) = sum_b PROD(pinj_b,prmtan_neped)","PROD(prmtan_neped,pinj)","PROD(prmtan_neped,pinj_15l)|PROD(prmtan_neped,pinj_15r)|PROD(prmtan_neped,pinj_21l)|PROD(prmtan_neped,pinj_21r)|PROD(prmtan_neped,pinj_30l)|PROD(prmtan_neped,pinj_30r)|PROD(prmtan_neped,pinj_33l)|PROD(prmtan_neped,pinj_33r)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b),LOCAL_DOCUMENTED,False,4,"PROD(prmtan_neped,pinj_15r)|PROD(prmtan_neped,pinj_21l)|PROD(prmtan_neped,pinj_21r)|PROD(prmtan_neped,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C3_RATIO_prmtan_neped,C3,"RATIO(pinj_b,prmtan_neped)","RATIO(pinj,prmtan_neped) = sum_b RATIO(pinj_b,prmtan_neped)","RATIO(pinj,prmtan_neped)","RATIO(pinj_15l,prmtan_neped)|RATIO(pinj_15r,prmtan_neped)|RATIO(pinj_21l,prmtan_neped)|RATIO(pinj_21r,prmtan_neped)|RATIO(pinj_30l,prmtan_neped)|RATIO(pinj_30r,prmtan_neped)|RATIO(pinj_33l,prmtan_neped)|RATIO(pinj_33r,prmtan_neped)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b) (aggregate in NUMERATOR only),LOCAL_DOCUMENTED,False,4,"RATIO(pinj_15r,prmtan_neped)|RATIO(pinj_21l,prmtan_neped)|RATIO(pinj_21r,prmtan_neped)|RATIO(pinj_33l,prmtan_neped)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C6_RATE_prmtan_neped,C6,LEVEL_RATE(prmtan_neped|pinj_b),LEVEL_RATE(prmtan_neped|pinj) = sum_b LEVEL_RATE(prmtan_neped|pinj_b),LEVEL_RATE(prmtan_neped|pinj),LEVEL_RATE(prmtan_neped|pinj_15l)|LEVEL_RATE(prmtan_neped|pinj_15r)|LEVEL_RATE(prmtan_neped|pinj_21l)|LEVEL_RATE(prmtan_neped|pinj_21r)|LEVEL_RATE(prmtan_neped|pinj_30l)|LEVEL_RATE(prmtan_neped|pinj_30r)|LEVEL_RATE(prmtan_neped|pinj_33l)|LEVEL_RATE(prmtan_neped|pinj_33r),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b); x_z * dot(pinj) = sum_b x_z * dot(pinj_b)",LOCAL_DOCUMENTED,False,4,LEVEL_RATE(prmtan_neped|pinj_15r)|LEVEL_RATE(prmtan_neped|pinj_21l)|LEVEL_RATE(prmtan_neped|pinj_21r)|LEVEL_RATE(prmtan_neped|pinj_33l),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C7_RATE_OVER_LEVEL_prmtan_neped,C7,RATE_OVER_LEVEL(pinj_b|prmtan_neped),RATE_OVER_LEVEL(pinj|prmtan_neped) = sum_b RATE_OVER_LEVEL(pinj_b|prmtan_neped),RATE_OVER_LEVEL(pinj|prmtan_neped),RATE_OVER_LEVEL(pinj_15l|prmtan_neped)|RATE_OVER_LEVEL(pinj_15r|prmtan_neped)|RATE_OVER_LEVEL(pinj_21l|prmtan_neped)|RATE_OVER_LEVEL(pinj_21r|prmtan_neped)|RATE_OVER_LEVEL(pinj_30l|prmtan_neped)|RATE_OVER_LEVEL(pinj_30r|prmtan_neped)|RATE_OVER_LEVEL(pinj_33l|prmtan_neped)|RATE_OVER_LEVEL(pinj_33r|prmtan_neped),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b); aggregate rate in NUMERATOR only",LOCAL_DOCUMENTED,False,4,RATE_OVER_LEVEL(pinj_15r|prmtan_neped)|RATE_OVER_LEVEL(pinj_21l|prmtan_neped)|RATE_OVER_LEVEL(pinj_21r|prmtan_neped)|RATE_OVER_LEVEL(pinj_33l|prmtan_neped),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C2_PROD_prmtan_teped,C2,"PROD(pinj_b,prmtan_teped)","PROD(pinj,prmtan_teped) = sum_b PROD(pinj_b,prmtan_teped)","PROD(prmtan_teped,pinj)","PROD(prmtan_teped,pinj_15l)|PROD(prmtan_teped,pinj_15r)|PROD(prmtan_teped,pinj_21l)|PROD(prmtan_teped,pinj_21r)|PROD(prmtan_teped,pinj_30l)|PROD(prmtan_teped,pinj_30r)|PROD(prmtan_teped,pinj_33l)|PROD(prmtan_teped,pinj_33r)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b),LOCAL_DOCUMENTED,False,4,"PROD(prmtan_teped,pinj_15r)|PROD(prmtan_teped,pinj_21l)|PROD(prmtan_teped,pinj_21r)|PROD(prmtan_teped,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C3_RATIO_prmtan_teped,C3,"RATIO(pinj_b,prmtan_teped)","RATIO(pinj,prmtan_teped) = sum_b RATIO(pinj_b,prmtan_teped)","RATIO(pinj,prmtan_teped)","RATIO(pinj_15l,prmtan_teped)|RATIO(pinj_15r,prmtan_teped)|RATIO(pinj_21l,prmtan_teped)|RATIO(pinj_21r,prmtan_teped)|RATIO(pinj_30l,prmtan_teped)|RATIO(pinj_30r,prmtan_teped)|RATIO(pinj_33l,prmtan_teped)|RATIO(pinj_33r,prmtan_teped)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b) (aggregate in NUMERATOR only),LOCAL_DOCUMENTED,False,9,"RATIO(pinj,prmtan_teped)|RATIO(pinj_15l,prmtan_teped)|RATIO(pinj_15r,prmtan_teped)|RATIO(pinj_21l,prmtan_teped)|RATIO(pinj_21r,prmtan_teped)|RATIO(pinj_30l,prmtan_teped)|RATIO(pinj_30r,prmtan_teped)|RATIO(pinj_33l,prmtan_teped)|RATIO(pinj_33r,prmtan_teped)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C6_RATE_prmtan_teped,C6,LEVEL_RATE(prmtan_teped|pinj_b),LEVEL_RATE(prmtan_teped|pinj) = sum_b LEVEL_RATE(prmtan_teped|pinj_b),LEVEL_RATE(prmtan_teped|pinj),LEVEL_RATE(prmtan_teped|pinj_15l)|LEVEL_RATE(prmtan_teped|pinj_15r)|LEVEL_RATE(prmtan_teped|pinj_21l)|LEVEL_RATE(prmtan_teped|pinj_21r)|LEVEL_RATE(prmtan_teped|pinj_30l)|LEVEL_RATE(prmtan_teped|pinj_30r)|LEVEL_RATE(prmtan_teped|pinj_33l)|LEVEL_RATE(prmtan_teped|pinj_33r),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b); x_z * dot(pinj) = sum_b x_z * dot(pinj_b)",LOCAL_DOCUMENTED,False,4,LEVEL_RATE(prmtan_teped|pinj_15r)|LEVEL_RATE(prmtan_teped|pinj_21l)|LEVEL_RATE(prmtan_teped|pinj_21r)|LEVEL_RATE(prmtan_teped|pinj_33l),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C7_RATE_OVER_LEVEL_prmtan_teped,C7,RATE_OVER_LEVEL(pinj_b|prmtan_teped),RATE_OVER_LEVEL(pinj|prmtan_teped) = sum_b RATE_OVER_LEVEL(pinj_b|prmtan_teped),RATE_OVER_LEVEL(pinj|prmtan_teped),RATE_OVER_LEVEL(pinj_15l|prmtan_teped)|RATE_OVER_LEVEL(pinj_15r|prmtan_teped)|RATE_OVER_LEVEL(pinj_21l|prmtan_teped)|RATE_OVER_LEVEL(pinj_21r|prmtan_teped)|RATE_OVER_LEVEL(pinj_30l|prmtan_teped)|RATE_OVER_LEVEL(pinj_30r|prmtan_teped)|RATE_OVER_LEVEL(pinj_33l|prmtan_teped)|RATE_OVER_LEVEL(pinj_33r|prmtan_teped),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b); aggregate rate in NUMERATOR only",LOCAL_DOCUMENTED,False,9,RATE_OVER_LEVEL(pinj|prmtan_teped)|RATE_OVER_LEVEL(pinj_15l|prmtan_teped)|RATE_OVER_LEVEL(pinj_15r|prmtan_teped)|RATE_OVER_LEVEL(pinj_21l|prmtan_teped)|RATE_OVER_LEVEL(pinj_21r|prmtan_teped)|RATE_OVER_LEVEL(pinj_30l|prmtan_teped)|RATE_OVER_LEVEL(pinj_30r|prmtan_teped)|RATE_OVER_LEVEL(pinj_33l|prmtan_teped)|RATE_OVER_LEVEL(pinj_33r|prmtan_teped),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C2_PROD_fs04,C2,"PROD(pinj_b,fs04)","PROD(pinj,fs04) = sum_b PROD(pinj_b,fs04)","PROD(fs04,pinj)","PROD(fs04,pinj_15l)|PROD(fs04,pinj_15r)|PROD(fs04,pinj_21l)|PROD(fs04,pinj_21r)|PROD(fs04,pinj_30l)|PROD(fs04,pinj_30r)|PROD(fs04,pinj_33l)|PROD(fs04,pinj_33r)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b),LOCAL_DOCUMENTED,False,4,"PROD(fs04,pinj_15r)|PROD(fs04,pinj_21l)|PROD(fs04,pinj_21r)|PROD(fs04,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C3_RATIO_fs04,C3,"RATIO(pinj_b,fs04)","RATIO(pinj,fs04) = sum_b RATIO(pinj_b,fs04)","RATIO(pinj,fs04)","RATIO(pinj_15l,fs04)|RATIO(pinj_15r,fs04)|RATIO(pinj_21l,fs04)|RATIO(pinj_21r,fs04)|RATIO(pinj_30l,fs04)|RATIO(pinj_30r,fs04)|RATIO(pinj_33l,fs04)|RATIO(pinj_33r,fs04)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b) (aggregate in NUMERATOR only),LOCAL_DOCUMENTED,False,9,"RATIO(pinj,fs04)|RATIO(pinj_15l,fs04)|RATIO(pinj_15r,fs04)|RATIO(pinj_21l,fs04)|RATIO(pinj_21r,fs04)|RATIO(pinj_30l,fs04)|RATIO(pinj_30r,fs04)|RATIO(pinj_33l,fs04)|RATIO(pinj_33r,fs04)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C6_RATE_fs04,C6,LEVEL_RATE(fs04|pinj_b),LEVEL_RATE(fs04|pinj) = sum_b LEVEL_RATE(fs04|pinj_b),LEVEL_RATE(fs04|pinj),LEVEL_RATE(fs04|pinj_15l)|LEVEL_RATE(fs04|pinj_15r)|LEVEL_RATE(fs04|pinj_21l)|LEVEL_RATE(fs04|pinj_21r)|LEVEL_RATE(fs04|pinj_30l)|LEVEL_RATE(fs04|pinj_30r)|LEVEL_RATE(fs04|pinj_33l)|LEVEL_RATE(fs04|pinj_33r),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b); x_z * dot(pinj) = sum_b x_z * dot(pinj_b)",LOCAL_DOCUMENTED,False,4,LEVEL_RATE(fs04|pinj_15r)|LEVEL_RATE(fs04|pinj_21l)|LEVEL_RATE(fs04|pinj_21r)|LEVEL_RATE(fs04|pinj_33l),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C7_RATE_OVER_LEVEL_fs04,C7,RATE_OVER_LEVEL(pinj_b|fs04),RATE_OVER_LEVEL(pinj|fs04) = sum_b RATE_OVER_LEVEL(pinj_b|fs04),RATE_OVER_LEVEL(pinj|fs04),RATE_OVER_LEVEL(pinj_15l|fs04)|RATE_OVER_LEVEL(pinj_15r|fs04)|RATE_OVER_LEVEL(pinj_21l|fs04)|RATE_OVER_LEVEL(pinj_21r|fs04)|RATE_OVER_LEVEL(pinj_30l|fs04)|RATE_OVER_LEVEL(pinj_30r|fs04)|RATE_OVER_LEVEL(pinj_33l|fs04)|RATE_OVER_LEVEL(pinj_33r|fs04),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b); aggregate rate in NUMERATOR only",LOCAL_DOCUMENTED,False,9,RATE_OVER_LEVEL(pinj|fs04)|RATE_OVER_LEVEL(pinj_15l|fs04)|RATE_OVER_LEVEL(pinj_15r|fs04)|RATE_OVER_LEVEL(pinj_21l|fs04)|RATE_OVER_LEVEL(pinj_21r|fs04)|RATE_OVER_LEVEL(pinj_30l|fs04)|RATE_OVER_LEVEL(pinj_30r|fs04)|RATE_OVER_LEVEL(pinj_33l|fs04)|RATE_OVER_LEVEL(pinj_33r|fs04),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C2_PROD_fs03da,C2,"PROD(pinj_b,fs03da)","PROD(pinj,fs03da) = sum_b PROD(pinj_b,fs03da)","PROD(fs03da,pinj)","PROD(fs03da,pinj_15l)|PROD(fs03da,pinj_15r)|PROD(fs03da,pinj_21l)|PROD(fs03da,pinj_21r)|PROD(fs03da,pinj_30l)|PROD(fs03da,pinj_30r)|PROD(fs03da,pinj_33l)|PROD(fs03da,pinj_33r)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b),LOCAL_DOCUMENTED,False,4,"PROD(fs03da,pinj_15r)|PROD(fs03da,pinj_21l)|PROD(fs03da,pinj_21r)|PROD(fs03da,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C3_RATIO_fs03da,C3,"RATIO(pinj_b,fs03da)","RATIO(pinj,fs03da) = sum_b RATIO(pinj_b,fs03da)","RATIO(pinj,fs03da)","RATIO(pinj_15l,fs03da)|RATIO(pinj_15r,fs03da)|RATIO(pinj_21l,fs03da)|RATIO(pinj_21r,fs03da)|RATIO(pinj_30l,fs03da)|RATIO(pinj_30r,fs03da)|RATIO(pinj_33l,fs03da)|RATIO(pinj_33r,fs03da)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b) (aggregate in NUMERATOR only),LOCAL_DOCUMENTED,False,9,"RATIO(pinj,fs03da)|RATIO(pinj_15l,fs03da)|RATIO(pinj_15r,fs03da)|RATIO(pinj_21l,fs03da)|RATIO(pinj_21r,fs03da)|RATIO(pinj_30l,fs03da)|RATIO(pinj_30r,fs03da)|RATIO(pinj_33l,fs03da)|RATIO(pinj_33r,fs03da)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C6_RATE_fs03da,C6,LEVEL_RATE(fs03da|pinj_b),LEVEL_RATE(fs03da|pinj) = sum_b LEVEL_RATE(fs03da|pinj_b),LEVEL_RATE(fs03da|pinj),LEVEL_RATE(fs03da|pinj_15l)|LEVEL_RATE(fs03da|pinj_15r)|LEVEL_RATE(fs03da|pinj_21l)|LEVEL_RATE(fs03da|pinj_21r)|LEVEL_RATE(fs03da|pinj_30l)|LEVEL_RATE(fs03da|pinj_30r)|LEVEL_RATE(fs03da|pinj_33l)|LEVEL_RATE(fs03da|pinj_33r),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b); x_z * dot(pinj) = sum_b x_z * dot(pinj_b)",LOCAL_DOCUMENTED,False,4,LEVEL_RATE(fs03da|pinj_15r)|LEVEL_RATE(fs03da|pinj_21l)|LEVEL_RATE(fs03da|pinj_21r)|LEVEL_RATE(fs03da|pinj_33l),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C7_RATE_OVER_LEVEL_fs03da,C7,RATE_OVER_LEVEL(pinj_b|fs03da),RATE_OVER_LEVEL(pinj|fs03da) = sum_b RATE_OVER_LEVEL(pinj_b|fs03da),RATE_OVER_LEVEL(pinj|fs03da),RATE_OVER_LEVEL(pinj_15l|fs03da)|RATE_OVER_LEVEL(pinj_15r|fs03da)|RATE_OVER_LEVEL(pinj_21l|fs03da)|RATE_OVER_LEVEL(pinj_21r|fs03da)|RATE_OVER_LEVEL(pinj_30l|fs03da)|RATE_OVER_LEVEL(pinj_30r|fs03da)|RATE_OVER_LEVEL(pinj_33l|fs03da)|RATE_OVER_LEVEL(pinj_33r|fs03da),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b); aggregate rate in NUMERATOR only",LOCAL_DOCUMENTED,False,9,RATE_OVER_LEVEL(pinj|fs03da)|RATE_OVER_LEVEL(pinj_15l|fs03da)|RATE_OVER_LEVEL(pinj_15r|fs03da)|RATE_OVER_LEVEL(pinj_21l|fs03da)|RATE_OVER_LEVEL(pinj_21r|fs03da)|RATE_OVER_LEVEL(pinj_30l|fs03da)|RATE_OVER_LEVEL(pinj_30r|fs03da)|RATE_OVER_LEVEL(pinj_33l|fs03da)|RATE_OVER_LEVEL(pinj_33r|fs03da),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C2_PROD_fs05da,C2,"PROD(pinj_b,fs05da)","PROD(pinj,fs05da) = sum_b PROD(pinj_b,fs05da)","PROD(fs05da,pinj)","PROD(fs05da,pinj_15l)|PROD(fs05da,pinj_15r)|PROD(fs05da,pinj_21l)|PROD(fs05da,pinj_21r)|PROD(fs05da,pinj_30l)|PROD(fs05da,pinj_30r)|PROD(fs05da,pinj_33l)|PROD(fs05da,pinj_33r)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b),LOCAL_DOCUMENTED,False,4,"PROD(fs05da,pinj_15r)|PROD(fs05da,pinj_21l)|PROD(fs05da,pinj_21r)|PROD(fs05da,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
