signal_id,methods_observed,categories_observed,method_consistent_across_shots,category_consistent_across_shots,directions_observed,median_length_ratio,min_length_ratio,max_length_ratio,downsampled_in_some_shot,aliasing_risk_downsample_without_antialias,operation_characterized,generator_code_available
ece24,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece25,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece26,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece27,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece28,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece29,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece3,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece30,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece31,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece32,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece33,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece34,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece35,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece36,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece37,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece38,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece39,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece4,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece40,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece5,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece6,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece7,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece8,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece9,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
fs03da,pchip_no_smoothing,noisy,True,True,PRESERVED|UPSAMPLED,0.9999966666754629,0.9999952437800533,2.4999803536345775,False,False,True,False
fs04,cubic_spline_simple,slow_varying,True,True,PRESERVED|UPSAMPLED,0.9999966666754629,0.9999952437800533,2.4999803536345775,False,False,True,False
fs04da,cubic_spline_simple,slow_varying,True,True,PRESERVED|UPSAMPLED,0.9999966666754629,0.9999952437800533,2.4999803536345775,False,False,True,False
fs05da,pchip_careful,fast_transient,True,True,PRESERVED|UPSAMPLED,0.9999966666754629,0.9999952437800533,2.4999803536345775,False,False,True,False
gasa,decimate_with_antialiasing,smooth_high_snr,True,True,DOWNSAMPLED,0.025325720571884383,0.025,0.25007652280379555,True,False,True,False
gasb,decimate_with_antialiasing,fast_transient,True,True,DOWNSAMPLED,0.025325720571884383,0.025,0.25007652280379555,True,False,True,False
gasc,decimate_with_antialiasing,fast_transient,True,True,DOWNSAMPLED,0.025325720571884383,0.025,0.25007652280379555,True,False,True,False
gasd,decimate_with_antialiasing,noisy,True,True,DOWNSAMPLED,0.025325720571884383,0.025,0.25007652280379555,True,False,True,False
ip,cubic_spline|decimate_with_antialiasing,smooth_high_snr,False,True,DOWNSAMPLED,0.49994898479746963,0.05,0.5,True,True,True,False
kappa,cubic_spline,smooth_high_snr,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
li,cubic_spline,smooth_high_snr,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
pcbcoil,decimate_with_antialiasing,smooth_high_snr,True,True,DOWNSAMPLED,0.05000934110775705,0.050000962667744855,0.3333503757860831,True,False,True,False
pcdiamag3,decimate_with_antialiasing,smooth_high_snr,True,True,DOWNSAMPLED,0.05000934110775705,0.050000962667744855,0.3333503757860831,True,False,True,False
pinj,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999980334703349,0.9999762193526908,1.0,False,False,True,False
pinj_15l,pchip_careful,fast_transient,True,True,PRESERVED,0.999980334703349,0.9999762193526908,1.0,False,False,True,False
pinj_15r,pchip_careful,fast_transient,True,True,PRESERVED,0.999980334703349,0.9999762193526908,1.0,False,False,True,False
pinj_21l,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999980334703349,0.9999762193526908,1.0,False,False,True,False
pinj_21r,pchip_careful,fast_transient,True,True,PRESERVED,0.999980334703349,0.9999762193526908,1.0,False,False,True,False
pinj_30l,pchip_careful,fast_transient,True,True,PRESERVED,0.999980334703349,0.9999762193526908,1.0,False,False,True,False
pinj_30r,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999980334703349,0.9999762193526908,1.0,False,False,True,False
pinj_33l,pchip_careful,fast_transient,True,True,PRESERVED,0.999980334703349,0.9999762193526908,1.0,False,False,True,False
pinj_33r,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999980334703349,0.9999762193526908,1.0,False,False,True,False
prmtan_neped,decimate_with_antialiasing|pchip_careful,fast_transient,False,True,DOWNSAMPLED|UPSAMPLED,0.6312881973304649,0.5,1.3258426966292134,True,True,True,False
prmtan_teped,cubic_spline_simple|decimate_with_antialiasing,slow_varying,False,True,DOWNSAMPLED|PRESERVED|UPSAMPLED,0.6653060997823093,0.5,1.4174174174174174,True,True,True,False
q95,cubic_spline,smooth_high_snr,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
rmaxis,cubic_spline,smooth_high_snr,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
rsurf,cubic_spline,smooth_high_snr,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
tinj,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999980334703349,0.9999762193526908,1.0,False,False,True,False
tribot,pchip_careful,fast_transient,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
tritop,cubic_spline,smooth_high_snr,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
volume,cubic_spline,smooth_high_snr,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
vsurf,cubic_spline,smooth_high_snr,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
zcur,pchip_no_smoothing,noisy,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
zmaxis,cubic_spline_simple,slow_varying,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
zsurf,cubic_spline_simple,slow_varying,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
