signal_id,canonical_name,source_name,aliases,scientific_description,category,direct_or_derived,diagnostic_or_computed,units,dimensional_signature,sampling_rate_native_if_known,sampling_rate_analysis_if_known,time_basis,shot_count_available,missing_fraction,finite_fraction,source_path,source_system,generating_formula_if_known,upstream_dependencies_if_known,preprocessing,smoothing,interpolation,standardization,uncertainty_metadata,provenance_status,documentation_status,availability_class,historical_eight,classification_evidence,evidence_class,notes
cerqrott8,cerqrott8,cerqrott8,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
cerqtit10,cerqtit10,cerqtit10,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
cerqtit11,cerqtit11,cerqtit11,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
cerqtit12,cerqtit12,cerqtit12,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
cerqtit13,cerqtit13,cerqtit13,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
cerqtit3,cerqtit3,cerqtit3,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
cerqtit6,cerqtit6,cerqtit6,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
cerqtit8,cerqtit8,cerqtit8,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
density,density,density,,provider group: density,density,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,UNRESOLVED,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,True,provider groups these as 'Density'; prmtan_* names suggest a profile-fit product but no local code or doc establishes the fit or its inputs,UNRESOLVED,present in all shots
drsep,drsep,drsep,,provider group: equilibrium_shape,equilibrium_shape,EQUILIBRIUM_DERIVED,computed,UNKNOWN,UNKNOWN,20.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring groups these as 'Equilibrium / shape'; equilibrium reconstruction outputs, not stored primitives",LOCAL_LINEAGE_EVIDENCE,present in all shots
ece1,ece1,ece1,,provider group: ece_te_profile,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,0.19999999999998863,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring labels the group 'ECE (Te profiles)'; a Te profile is a reconstruction from radiometer channels, not a stored primitive",LOCAL_LINEAGE_EVIDENCE,present in all shots
ece10,ece10,ece10,,provider group: ece_te_profile,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,0.19999999999998863,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring labels the group 'ECE (Te profiles)'; a Te profile is a reconstruction from radiometer channels, not a stored primitive",LOCAL_LINEAGE_EVIDENCE,present in all shots
ece11,ece11,ece11,,provider group: ece_te_profile,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,0.19999999999998863,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring labels the group 'ECE (Te profiles)'; a Te profile is a reconstruction from radiometer channels, not a stored primitive",LOCAL_LINEAGE_EVIDENCE,present in all shots
ece12,ece12,ece12,,provider group: ece_te_profile,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,0.19999999999998863,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring labels the group 'ECE (Te profiles)'; a Te profile is a reconstruction from radiometer channels, not a stored primitive",LOCAL_LINEAGE_EVIDENCE,present in all shots
ece13,ece13,ece13,,provider group: ece_te_profile,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,0.19999999999998863,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring labels the group 'ECE (Te profiles)'; a Te profile is a reconstruction from radiometer channels, not a stored primitive",LOCAL_LINEAGE_EVIDENCE,present in all shots
ece14,ece14,ece14,,provider group: ece_te_profile,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,0.19999999999998863,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring labels the group 'ECE (Te profiles)'; a Te profile is a reconstruction from radiometer channels, not a stored primitive",LOCAL_LINEAGE_EVIDENCE,present in all shots
ece15,ece15,ece15,,provider group: ece_te_profile,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,0.19999999999998863,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring labels the group 'ECE (Te profiles)'; a Te profile is a reconstruction from radiometer channels, not a stored primitive",LOCAL_LINEAGE_EVIDENCE,present in all shots
ece16,ece16,ece16,,provider group: ece_te_profile,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,0.19999999999998863,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring labels the group 'ECE (Te profiles)'; a Te profile is a reconstruction from radiometer channels, not a stored primitive",LOCAL_LINEAGE_EVIDENCE,present in all shots
ece17,ece17,ece17,,provider group: ece_te_profile,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,0.19999999999998863,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring labels the group 'ECE (Te profiles)'; a Te profile is a reconstruction from radiometer channels, not a stored primitive",LOCAL_LINEAGE_EVIDENCE,present in all shots
ece18,ece18,ece18,,provider group: ece_te_profile,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,0.19999999999998863,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring labels the group 'ECE (Te profiles)'; a Te profile is a reconstruction from radiometer channels, not a stored primitive",LOCAL_LINEAGE_EVIDENCE,present in all shots
ece19,ece19,ece19,,provider group: ece_te_profile,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,0.19999999999998863,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring labels the group 'ECE (Te profiles)'; a Te profile is a reconstruction from radiometer channels, not a stored primitive",LOCAL_LINEAGE_EVIDENCE,present in all shots
