signal_id,archive_key_data,archive_key_times,provider_identity,dalia_identity,alias_mapping,in_dalia_catalog,catalog_position_matches_manifest,n_shots_loadable,min_finite_fraction,n_samples_median,transformation_vs_archive,numerically_spot_checked_shots,spot_check_result,verdict,verdict_basis
prmtan_neped,prmtan_neped_data,prmtan_neped_times,prmtan_neped,prmtan_neped,one-to-one (identity),True,True,62,1.0,509.0,"none (native arrays, no common grid)",195659|155537,EXACT on length/min/max,EXACT_IDENTITY,catalog parity + identical loader code path + direct numerical spot check
prmtan_teped,prmtan_teped_data,prmtan_teped_times,prmtan_teped,prmtan_teped,one-to-one (identity),True,True,62,1.0,492.5,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
fs04,fs04_data,fs04_times,fs04,fs04,one-to-one (identity),True,True,62,1.0,254250.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
fs03da,fs03da_data,fs03da_times,fs03da,fs03da,one-to-one (identity),True,True,62,1.0,254250.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
fs04da,fs04da_data,fs04da_times,fs04da,fs04da,one-to-one (identity),True,True,62,1.0,254250.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
fs05da,fs05da_data,fs05da_times,fs05da,fs05da,one-to-one (identity),True,True,62,1.0,254250.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
gasa,gasa_data,gasa_times,gasa,gasa,one-to-one (identity),True,True,62,1.0,2600.0,"none (native arrays, no common grid)",195659,EXACT on length/min/max,EXACT_IDENTITY,catalog parity + identical loader code path + direct numerical spot check
gasb,gasb_data,gasb_times,gasb,gasb,one-to-one (identity),True,True,62,1.0,2600.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
gasc,gasc_data,gasc_times,gasc,gasc,one-to-one (identity),True,True,62,1.0,2600.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
gasd,gasd_data,gasd_times,gasd,gasd,one-to-one (identity),True,True,62,1.0,2600.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
pinj,pinj_data,pinj_times,pinj,pinj,one-to-one (identity),True,True,62,1.0,50850.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
pinj_15l,pinj_15l_data,pinj_15l_times,pinj_15l,pinj_15l,one-to-one (identity),True,True,62,1.0,50850.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
pinj_15r,pinj_15r_data,pinj_15r_times,pinj_15r,pinj_15r,one-to-one (identity),True,True,62,1.0,50850.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
pinj_21l,pinj_21l_data,pinj_21l_times,pinj_21l,pinj_21l,one-to-one (identity),True,True,62,1.0,50850.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
pinj_21r,pinj_21r_data,pinj_21r_times,pinj_21r,pinj_21r,one-to-one (identity),True,True,62,1.0,50850.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
pinj_30l,pinj_30l_data,pinj_30l_times,pinj_30l,pinj_30l,one-to-one (identity),True,True,62,1.0,50850.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
pinj_30r,pinj_30r_data,pinj_30r_times,pinj_30r,pinj_30r,one-to-one (identity),True,True,62,1.0,50850.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
pinj_33l,pinj_33l_data,pinj_33l_times,pinj_33l,pinj_33l,one-to-one (identity),True,True,62,1.0,50850.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
pinj_33r,pinj_33r_data,pinj_33r_times,pinj_33r,pinj_33r,one-to-one (identity),True,True,62,1.0,50850.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
tinj,tinj_data,tinj_times,tinj,tinj,one-to-one (identity),True,True,62,1.0,50850.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece1,ece1_data,ece1_times,ece1,ece1,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece2,ece2_data,ece2_times,ece2,ece2,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece3,ece3_data,ece3_times,ece3,ece3,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece4,ece4_data,ece4_times,ece4,ece4,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece5,ece5_data,ece5_times,ece5,ece5,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece6,ece6_data,ece6_times,ece6,ece6,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece7,ece7_data,ece7_times,ece7,ece7,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece8,ece8_data,ece8_times,ece8,ece8,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece9,ece9_data,ece9_times,ece9,ece9,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece10,ece10_data,ece10_times,ece10,ece10,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece11,ece11_data,ece11_times,ece11,ece11,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece12,ece12_data,ece12_times,ece12,ece12,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece13,ece13_data,ece13_times,ece13,ece13,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece14,ece14_data,ece14_times,ece14,ece14,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece15,ece15_data,ece15_times,ece15,ece15,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece16,ece16_data,ece16_times,ece16,ece16,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece17,ece17_data,ece17_times,ece17,ece17,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece18,ece18_data,ece18_times,ece18,ece18,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece19,ece19_data,ece19_times,ece19,ece19,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece20,ece20_data,ece20_times,ece20,ece20,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece21,ece21_data,ece21_times,ece21,ece21,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece22,ece22_data,ece22_times,ece22,ece22,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece23,ece23_data,ece23_times,ece23,ece23,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece24,ece24_data,ece24_times,ece24,ece24,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece25,ece25_data,ece25_times,ece25,ece25,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece26,ece26_data,ece26_times,ece26,ece26,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece27,ece27_data,ece27_times,ece27,ece27,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece28,ece28_data,ece28_times,ece28,ece28,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece29,ece29_data,ece29_times,ece29,ece29,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece30,ece30_data,ece30_times,ece30,ece30,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece31,ece31_data,ece31_times,ece31,ece31,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece32,ece32_data,ece32_times,ece32,ece32,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece33,ece33_data,ece33_times,ece33,ece33,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece34,ece34_data,ece34_times,ece34,ece34,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece35,ece35_data,ece35_times,ece35,ece35,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece36,ece36_data,ece36_times,ece36,ece36,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece37,ece37_data,ece37_times,ece37,ece37,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece38,ece38_data,ece38_times,ece38,ece38,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece39,ece39_data,ece39_times,ece39,ece39,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ece40,ece40_data,ece40_times,ece40,ece40,one-to-one (identity),True,True,62,1.0,25424.0,"none (native arrays, no common grid)",155537,EXACT on length/min/max,EXACT_IDENTITY,catalog parity + identical loader code path + direct numerical spot check
cerqrott3,cerqrott3_data,cerqrott3_times,cerqrott3,cerqrott3,one-to-one (identity),True,True,62,1.0,462.0,"none (native arrays, no common grid)",195659,EXACT on length/min/max,EXACT_IDENTITY,catalog parity + identical loader code path + direct numerical spot check
cerqrott6,cerqrott6_data,cerqrott6_times,cerqrott6,cerqrott6,one-to-one (identity),True,True,62,1.0,462.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
cerqrott8,cerqrott8_data,cerqrott8_times,cerqrott8,cerqrott8,one-to-one (identity),True,True,62,1.0,461.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
cerqrott10,cerqrott10_data,cerqrott10_times,cerqrott10,cerqrott10,one-to-one (identity),True,True,62,1.0,461.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
cerqrott11,cerqrott11_data,cerqrott11_times,cerqrott11,cerqrott11,one-to-one (identity),True,True,62,1.0,461.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
cerqrott12,cerqrott12_data,cerqrott12_times,cerqrott12,cerqrott12,one-to-one (identity),True,True,62,1.0,461.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
cerqrott13,cerqrott13_data,cerqrott13_times,cerqrott13,cerqrott13,one-to-one (identity),True,True,62,1.0,461.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
cerqtit3,cerqtit3_data,cerqtit3_times,cerqtit3,cerqtit3,one-to-one (identity),True,True,62,1.0,462.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
cerqtit6,cerqtit6_data,cerqtit6_times,cerqtit6,cerqtit6,one-to-one (identity),True,True,62,1.0,462.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
cerqtit8,cerqtit8_data,cerqtit8_times,cerqtit8,cerqtit8,one-to-one (identity),True,True,62,1.0,461.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
cerqtit10,cerqtit10_data,cerqtit10_times,cerqtit10,cerqtit10,one-to-one (identity),True,True,62,1.0,461.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
cerqtit11,cerqtit11_data,cerqtit11_times,cerqtit11,cerqtit11,one-to-one (identity),True,True,62,1.0,461.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
cerqtit12,cerqtit12_data,cerqtit12_times,cerqtit12,cerqtit12,one-to-one (identity),True,True,62,1.0,461.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
cerqtit13,cerqtit13_data,cerqtit13_times,cerqtit13,cerqtit13,one-to-one (identity),True,True,62,1.0,461.0,"none (native arrays, no common grid)",195659|155537,EXACT on length/min/max,EXACT_IDENTITY,catalog parity + identical loader code path + direct numerical spot check
