signal_id,signal_group,units,units_status,units_evidence_class,dimensional_signature,semantic_type,is_dimensionless,sign_convention,source_classification,scientific_description
pinj_33l,neutral_beams,W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,"Injected neutral beam power, beamline 33L"
pinj_33r,neutral_beams,W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,"Injected neutral beam power, beamline 33R"
tinj,neutral_beams,N m,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,Injected neutral beam torque
ece1,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 1
ece2,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 2
ece3,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 3
ece4,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 4
ece5,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 5
ece6,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 6
ece7,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 7
ece8,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 8
ece9,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 9
ece10,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 10
ece11,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 11
ece12,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 12
ece13,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 13
ece14,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 14
ece15,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 15
ece16,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 16
ece17,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 17
ece18,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 18
ece19,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 19
ece20,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 20
ece21,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 21
ece22,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 22
ece23,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 23
ece24,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 24
ece25,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 25
ece26,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 26
ece27,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 27
ece28,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 28
ece29,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 29
ece30,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 30
ece31,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 31
ece32,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 32
ece33,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 33
ece34,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 34
ece35,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 35
ece36,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 36
ece37,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 37
ece38,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 38
ece39,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 39
ece40,ece_te_profile,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,ECE radiometer channel 40
cerqrott3,cer_rotation_ti,km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER toroidal rotation velocity, channel 3"
cerqrott6,cer_rotation_ti,km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER toroidal rotation velocity, channel 6"
cerqrott8,cer_rotation_ti,km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER toroidal rotation velocity, channel 8"
cerqrott10,cer_rotation_ti,km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER toroidal rotation velocity, channel 10"
cerqrott11,cer_rotation_ti,km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER toroidal rotation velocity, channel 11"
cerqrott12,cer_rotation_ti,km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER toroidal rotation velocity, channel 12"
cerqrott13,cer_rotation_ti,km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER toroidal rotation velocity, channel 13"
cerqtit3,cer_rotation_ti,eV,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER ion temperature, channel 3"
cerqtit6,cer_rotation_ti,eV,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER ion temperature, channel 6"
cerqtit8,cer_rotation_ti,eV,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER ion temperature, channel 8"
cerqtit10,cer_rotation_ti,eV,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER ion temperature, channel 10"
cerqtit11,cer_rotation_ti,eV,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER ion temperature, channel 11"
cerqtit12,cer_rotation_ti,eV,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER ion temperature, channel 12"
cerqtit13,cer_rotation_ti,eV,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,"CER ion temperature, channel 13"
