shot_id,device,n_signals_present,all_95_present,common_window_start_ms,common_window_end_ms,common_window_ms,grid_dt_all95_ms,time_units,calendar_date,campaign_id,operating_regime
187017,DIII-D,95,True,1000.0,5980.0,4980.0,4.984984984984985,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
187018,DIII-D,95,True,1000.0,5980.0,4980.0,4.984984984984985,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
187019,DIII-D,95,True,1000.0,5660.0,4660.0,4.664664664664665,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
187020,DIII-D,95,True,1000.0,6120.0,5120.0,5.125125125125125,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
187021,DIII-D,95,True,1000.0,5980.0,4980.0,4.984984984984985,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
187022,DIII-D,95,True,1000.0,5660.0,4660.0,4.664664664664665,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
187024,DIII-D,95,True,1000.0,6120.0,5120.0,5.125125125125125,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
189646,DIII-D,95,True,720.0,5060.0,4340.0,4.344344344344345,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
189647,DIII-D,95,True,720.0,5060.0,4340.0,4.344344344344345,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
189649,DIII-D,95,True,720.0,5060.0,4340.0,4.344344344344345,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
189650,DIII-D,95,True,720.0,5060.0,4340.0,4.344344344344345,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
189651,DIII-D,95,True,720.0,5060.0,4340.0,4.344344344344345,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
189652,DIII-D,95,True,760.0,4880.0,4120.0,4.124124124124124,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195261,DIII-D,95,True,720.0,5980.0,5260.0,5.265265265265265,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195264,DIII-D,95,True,720.0,5980.0,5260.0,5.265265265265265,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195265,DIII-D,95,True,720.0,5980.0,5260.0,5.265265265265265,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195266,DIII-D,95,True,720.0,5980.0,5260.0,5.265265265265265,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195267,DIII-D,95,True,720.0,6060.0,5340.0,5.345345345345345,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195268,DIII-D,95,True,720.0,6060.0,5340.0,5.345345345345345,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195269,DIII-D,95,True,720.0,5980.0,5260.0,5.265265265265265,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195273,DIII-D,95,True,720.0,6060.0,5340.0,5.345345345345345,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195274,DIII-D,95,True,720.0,5980.0,5260.0,5.265265265265265,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195626,DIII-D,95,True,410.0,5460.0,5050.0,5.055055055055055,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195638,DIII-D,95,True,410.0,5160.0,4750.0,4.754754754754755,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195642,DIII-D,95,True,410.0,5160.0,4750.0,4.754754754754755,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195645,DIII-D,95,True,410.0,5160.0,4750.0,4.754754754754755,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195647,DIII-D,95,True,410.0,5160.0,4750.0,4.754754754754755,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195648,DIII-D,95,True,410.0,5160.0,4750.0,4.754754754754755,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195649,DIII-D,95,True,410.0,5160.0,4750.0,4.754754754754755,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195650,DIII-D,95,True,410.0,5160.0,4750.0,4.754754754754755,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195651,DIII-D,95,True,410.0,5180.0,4770.0,4.774774774774775,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195652,DIII-D,95,True,410.0,5180.0,4770.0,4.774774774774775,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195655,DIII-D,95,True,410.0,5180.0,4770.0,4.774774774774775,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
195659,DIII-D,95,True,410.0,4180.0,3770.0,3.7737737737737738,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
